symbol,date,price
BAC,2000/1/3,24.21875
BAC,2000/1/4,22.78125
BAC,2000/1/5,23.03125
BAC,2000/1/6,25
BAC,2000/1/7,24.34375
BAC,2000/1/10,23.5
BAC,2000/1/11,23
BAC,2000/1/12,23.25
BAC,2000/1/13,23.78125
BAC,2000/1/14,25.25
BAC,2000/1/18,24
BAC,2000/1/19,24
BAC,2000/1/20,23.539063
BAC,2000/1/21,22.84375
BAC,2000/1/24,22.28125
BAC,2000/1/25,22.5625
BAC,2000/1/26,23.5625
BAC,2000/1/27,24.0625
BAC,2000/1/28,22.875
BAC,2000/1/31,24.21875
BAC,2000/2/1,24.5
BAC,2000/2/2,23.875
BAC,2000/2/3,23.21875
BAC,2000/2/4,22.9375
BAC,2000/2/7,22.65625
BAC,2000/2/8,23.5625
BAC,2000/2/9,23.03125
BAC,2000/2/10,22.4375
BAC,2000/2/11,22.59375
BAC,2000/2/14,22.125
BAC,2000/2/15,22.8125
BAC,2000/2/16,22.59375
BAC,2000/2/17,22.3125
BAC,2000/2/18,21.875
BAC,2000/2/22,22.375
BAC,2000/2/23,22.875
BAC,2000/2/24,22.40625
BAC,2000/2/25,22.0625
BAC,2000/2/28,22.96875
BAC,2000/2/29,23
BAC,2000/3/1,22.78125
BAC,2000/3/2,22.53125
BAC,2000/3/3,22.5
BAC,2000/3/6,22.25
BAC,2000/3/7,22
BAC,2000/3/8,21.8125
BAC,2000/3/9,21.53125
BAC,2000/3/10,21.4375
BAC,2000/3/13,21.59375
BAC,2000/3/14,21.3125
BAC,2000/3/15,22.9375
BAC,2000/3/16,24.625
BAC,2000/3/17,25
BAC,2000/3/20,24.8125
BAC,2000/3/21,25.5
BAC,2000/3/22,25.71875
BAC,2000/3/23,27.09375
BAC,2000/3/24,27.3125
BAC,2000/3/27,27.0625
BAC,2000/3/28,26.78125
BAC,2000/3/29,26
BAC,2000/3/30,25.40625
BAC,2000/3/31,26.21875
BAC,2000/4/3,27.75
BAC,2000/4/4,27.09375
BAC,2000/4/5,27
BAC,2000/4/6,26.71875
BAC,2000/4/7,26.15625
BAC,2000/4/10,26.40625
BAC,2000/4/11,26.171875
BAC,2000/4/12,27.28125
BAC,2000/4/13,26.40625
BAC,2000/4/14,24.96875
BAC,2000/4/17,25.15625
BAC,2000/4/18,25.5
BAC,2000/4/19,24.71875
BAC,2000/4/20,24.78125
BAC,2000/4/24,25.75
BAC,2000/4/25,26.71875
BAC,2000/4/26,25.875
BAC,2000/4/27,25.625
BAC,2000/4/28,24.5
BAC,2000/5/1,25
BAC,2000/5/2,24.8125
BAC,2000/5/3,24.5
BAC,2000/5/4,24
BAC,2000/5/5,23.78125
BAC,2000/5/8,24.09375
BAC,2000/5/9,24.09375
BAC,2000/5/10,23.25
BAC,2000/5/11,23.6875
BAC,2000/5/12,24.296875
BAC,2000/5/15,25.3125
BAC,2000/5/16,24.84375
BAC,2000/5/17,24.65625
BAC,2000/5/18,25.15625
BAC,2000/5/19,24.875
BAC,2000/5/22,25.125
BAC,2000/5/23,26.28125
BAC,2000/5/24,27.96875
BAC,2000/5/25,27.65625
BAC,2000/5/26,27.3125
BAC,2000/5/30,27.46875
BAC,2000/5/31,27.71875
BAC,2000/6/1,28.40625
BAC,2000/6/2,30.5
BAC,2000/6/5,29.625
BAC,2000/6/6,28.375
BAC,2000/6/7,28.90625
BAC,2000/6/8,28.375
BAC,2000/6/9,28
BAC,2000/6/12,28.234375
BAC,2000/6/13,27.84375
BAC,2000/6/14,27.65625
BAC,2000/6/15,25.96875
BAC,2000/6/16,24
BAC,2000/6/19,24.1875
BAC,2000/6/20,24.25
BAC,2000/6/21,23.8125
